Plate A (Round)|皿A（円形）
Drink (Glass) A|飲み物（グラス）A
Drink (Glass) B|飲み物（グラス）B
Drink (Glass) C|飲み物（グラス）C
Drink (Glass) D|飲み物（グラス）D
Drink (Glass) E|飲み物（グラス）E
Drink (Glass) F|飲み物（グラス）F
Drink (Glass) G|飲み物（グラス）G
Drink (Glass) H|飲み物（グラス）H
Drink (Glass) I|飲み物（グラス）I
Drink (Glass) J|飲み物（グラス）J
Drink (Glass) K|飲み物（グラス）K
Drink (Glass) L|飲み物（グラス）L
Drink (Glass) M|飲み物（グラス）M
Drink (Cup) A|飲み物（カップ）A
Drink (Glass) N|飲み物（グラス）H
Drink (Glass) H|飲み物（グラス）N
Drink (Cup) B|飲み物（カップ）B
Drink (Glass) I|飲み物（グラス）I
Drink (Green Tea) A|飲み物（緑茶）A
Drink (Cup) C|飲み物（カップ）C
Drink (Green Tea) B|飲み物（緑茶）B
Drink (Cup) D|飲み物（カップ）D
Drink (Glass) J|飲み物（グラス）J
Drink (Cup) E|飲み物（カップ）E
Drink (Glass) K|飲み物（グラス）K
Drink (Glass) L|飲み物（グラス）L
Drink (Cup) F|飲み物（カップ）F
Drink (Cup) G|飲み物（カップ）G
Drink (Glass) M|飲み物（グラス）M
Drink (Cup) H|飲み物（カップ）H
Drink (Cup) I|飲み物（カップ）I
Drink (Cup) J|飲み物（カップ）J
Drink (Glass) M|飲み物（グラス）M
Drink (Glass) N|飲み物（グラス）N
Drink (Glass) O|飲み物（グラス）O
Drink (Glass) P|飲み物（グラス）P
Drink (Glass) Q|飲み物（グラス）Q
Drink (Glass) R|飲み物（グラス）R
Drink (Beer) |飲み物（ビール）
Drink (Glass) S|飲み物（グラス）S
Drink (Coconut) |飲み物（ココナッツ）
Drink (Glass) T|飲み物（グラス）T
Drink (Glass) U|飲み物（グラス）U
Drink (Glass) V|飲み物（グラス）V
Drink (Glass) W|飲み物（グラス）W
Drink (Glass) X|飲み物（グラス）X
Drink (Glass) Y|飲み物（グラス）Y
Drink (Glass) Z|飲み物（グラス）Z
Drink (Sake Tokkuri) |飲み物（日本酒　徳利）
Sushi A|お寿司A
Japanese Dish A|日本料理A
Ramen A|ラーメンA
Ramen B|ラーメンB
Ramen C|ラーメンC
Soba A|ソバA
Lunch Box A|ランチボックスA
Drink (Sake Masu) |飲み物（日本酒　升）
Sushi B|お寿司B
Japanese Dish B|日本料理B
Ramen D|ラーメンD
Ramen E|ラーメンE
Ramen F|ラーメンF
Soba B|ソバB
Lunch Box B|ランチボックスB
Pan|フライパン
Paella Pan|パエリア鍋
Kitchen Knife|包丁
Rolling Pin|めん棒
Pots　Place|鍋置き場
Pots　Place|鍋置き場
Pots　Place|鍋置き場
Pots　Place|鍋置き場
Pan|フライパン
Stewpot|深鍋
Tenderizer|肉たたき
Cooking Tools|調理器具
Cooking Tools Place|調理器具置き場
Cooking Tools Place|調理器具置き場
Cooking Tools Place|調理器具置き場
Cooking Tools Place|調理器具置き場
Cooking Stove|コンロ
Cooking Stove|コンロ
Kitchen Counter|調理台
Kitchen Counter|調理台
Kitchen Sink|台所流し台
Kitchen Sink|台所流し台
Stone Oven|石窯
Stone Oven|石窯
Cooking Stove|コンロ
Cooking Stove|コンロ
Kitchen Counter|調理台
Kitchen Counter|調理台
Kitchen Sink|台所流し台
Kitchen Sink|台所流し台
Stone Oven|石窯
Stone Oven|石窯
