Darkness A|暗闇A
Stripe Floor G (Navy Blue)|線入り床G（紺色）
Stripe Floor H (Black)|線入り床H（黒）
Quadrisection Floor A (White)|4分割床A（白）
Quadrisection Floor B (Gray)|4分割床B（灰色）
Quadrisection Floor C (Pale Pink)|4分割床C（薄桃色）
Quadrisection Floor D (Beige)|4分割床D（ベージュ）
Quadrisection Floor E (Pink)|4分割床E（ピンク）
Quadrisection Floor F (Pale Blue)|4分割床F（薄青色）
Quadrisection Floor G (Navy Blue)|4分割床G（紺色）
Quadrisection Floor H (Black)|4分割床H（黒）
Stripe Floor I (Light Gray)|線入り床I（明灰色）
Stripe Floor J (Gray)|線入り床J（灰色）
Stripe Floor K (Pale Pink)|線入り床K（薄桃色）
Stripe Floor L (Beige)|線入り床L（ベージュ）
Stripe Floor M (Pink)|線入り床M（ピンク）
Stripe Floor N (Pale Blue)|線入り床N（薄青色）
Stripe Floor O (Navy Blue)|線入り床O（紺色）
Stripe Floor P (Black)|線入り床P（黒）
Wood Large Floor A (Top, Left)|木大床A（上部・左）
Wood Large Floor A (Top, Center)|木大床A（上部・中央）
Wood Large Floor A (Top, Right)|木大床A（上部・右）
Wood Large Floor B (Top, Left)|木大床B（上部・左）
Wood Large Floor B (Top, Center)|木大床B（上部・中央）
Wood Large Floor B (Top, Right)|木大床B（上部・右）
Wood Floor A (Top, Left)|木床A（上部・左）
Wood Floor A (Top, Right)|木床A（上部・右）
Wood Large Floor A (Middle, Left)|木大床A（中央部・左）
Wood Large Floor A (Middle, Center)|木大床A（中央部・中央）
Wood Large Floor A (Middle, Right)|木大床A（中央部・右）
Wood Large Floor B (Middle, Left)|木大床B（中央部・左）
Wood Large Floor B (Middle, Center)|木大床B（中央部・中央）
Wood Large Floor B (Middle, Right)|木大床B（中央部・右）
Wood Floor A (Bottom, Left)|木床A（下部・左）
Wood Floor A (Bottom, Right)|木床A（下部・右）
Wood Large Floor A (Bottom, Left)|木大床A（下部・左）
Wood Large Floor A (Bottom, Center)|木大床A（下部・中央）
Wood Large Floor A (Bottom, Right)|木大床A（下部・右）
Wood Large Floor B (Bottom, Left)|木大床B（下部・左）
Wood Large Floor B (Bottom, Center)|木大床B（下部・中央）
Wood Large Floor B (Bottom, Right)|木大床B（下部・右）
Wood Floor B (Top, Left)|木床B（上部・左）
Wood Floor B (Top, Right)|木床A（上部・右）
Wood Large Floor C (Top, Left)|木大床C（上部・左）
Wood Large Floor C (Top, Center)|木大床C（上部・中央）
Wood Large Floor C (Top, Right)|木大床C（上部・右）
Stairs A (Left)|階段A（左）
Stairs A (Center)|階段A（中央）
Stairs A (Right)|階段A（右）
Wood Floor B (Bottom, Left)|木床B（下部・左）
Wood Floor B (Bottom, Right)|木床B（下部・右）
Wood Large Floor C (Middle, Left)|木大床C（中央部・左）
Wood Large Floor C (Middle, Center)|木大床C（中央部・中央）
Wood Large Floor C (Middle, Right)|木大床C（中央部・右）
Stairs B (Left)|階段B（左）
Stairs B (Center)|階段B（中央）
Stairs B (Right)|階段B（右）
Wood Floor C (Top, Left)|木床C（上部・左）
Wood Floor C (Top, Right)|木床C（上部・右）
Wood Large Floor C (Bottom, Left)|木大床C（下部・左）
Wood Large Floor C (Bottom, Center)|木大床C（下部・中央）
Wood Large Floor C (Bottom, Right)|木大床C（下部・右）
Stairs C (Left)|階段C（左）
Stairs C (Center)|階段C（中央）
Stairs C (Right)|階段C（右）
Wood Floor C (Bottom, Left)|木床C（下部・左）
Wood Floor C (Bottom, Right)|木床C（下部・右）
